slug,name,state,fees,avgSalary,nirf,nirf_number,weight,,,,,,,,,,,,
manipal-jaipur,Manipal University Jaipur,Rajasthan,1804000,800000,76,76,65,,,,,,,,,,,,
tiet-patiala,TIET Patiala,Punjab,1560000,1138000,29,29,74,,,,,,,,,,,,
jiit-noida-sector-62,JIIT Noida (Sector-62),Uttar-Pradesh,1632000,1113000,101-150,125.5,61,,,,,,,,,,,,
jiit-noida-sector-128,JIIT Noida (Sector-128),Uttar-Pradesh,1632000,950000,101-150,125.5,59,,,,,,,,,,,,
zhcet-amu-aligarh,ZHCET AMU Aligarh,Uttar-Pradesh,72160,563000,34,34,69,,,,,,,,,,,,
iiser-mohali,IISER Mohali,Punjab,541000,1140000,70,70,69,,,,,,,,,,,,
iiser-bhopal,IISER Bhopal,Madhya-Pradesh,521000,900000,75,75,66,,,,,,,,,,,,
pec-chandigarh,PEC Chandigarh,Chandigarh,771000,1597000,101-150,125.5,65,,,,,,,,,,,,
uiet-chandigarh,UIET Chandigarh,Chandigarh,523000,850000,159,159,54,,,,,,,,,,,,
vit-bhopal,VIT Bhopal,Madhya-Pradesh,800000,900000,182,182,51,,,,,,,,,,,,
iiit-bhopal,IIIT Bhopal,Madhya-Pradesh,720000,1677000,90,90,70,,,,,,,,,,,,
iiit-bhagalpur,IIIT Bhagalpur,Bihar,1460000,1150000,63,63,70,,,,,,,,,,,,
niamt-ranchi,NIAMT Ranchi,Jharkhand,446000,740000,201-300,250.5,40,,,,,,,,,,,,
bit-patna,BIT Patna,Bihar,1209000,711970,135,135,56,,,,,,,,,,,,
